Titre,Tonalité,Accords,Degrés,Rythmique,Rythme,Enchainement des accords,Swing,Niveau difficulté,Lien partition,Lien exercice,Téléchargement partitions clé de sol et fa,Téléchargement accords paroles,Module
Je t'aimais je t'aime et je t'aimerais,SOLb majeur,"Gb, Db, B, Ebm, Abm","I, V, IV, vi, ii",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/Cr5Hc/,https://www.soundslice.com/slices/8-cTc/,https://drive.google.com/file/d/1ow5H8CBv3jwrwY0AjoQ--wEM0ARPVmkB/view?usp=drive_link,,4
Jimmy,RÉb majeur,"Bbm, Db, Ab, Gb, Fm, F","vi, I, V, IV, iii, III",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/C65Hc/,https://www.soundslice.com/slices/P-cTc/,https://drive.google.com/file/d/1h2zJwC9YDZD7gtQfsAVltpQ_fvvWVcp7/view?usp=drive_link,,4
Knockin' On Heaven's Door,SOL majeur,"G, D, Am, C","i, V, IV, ii",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/c5FHc/,https://www.soundslice.com/slices/K-cTc/,https://drive.google.com/file/d/1S5J04hKswywqqHSIiefyzZ7zA-NzK-7U/view?usp=drive_link,,2
Les copains d'abord,RÉ majeur,"D, E, G, F#, Bm, A","I, II, IV, III, vi, V",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/Wm5Hc/,https://www.soundslice.com/slices/--cTc/,https://drive.google.com/file/d/1sQevBXaooMC82DmDIuKQkmcEI00-jN2Z/view?usp=drive_link,,4
Les yeux revolvers,FA majeur,"F, Bb, C, Am, Dm, A","I, IV, V, iii, vi, III",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/xFgHc/,https://www.soundslice.com/slices/g-cTc/,https://drive.google.com/file/d/16UiNBRYSeq3GoIBI_VVj98DgnwUj9lRc/view?usp=drive_link,,3
Lucie,SIb majeur,"Gm, D, F, C, Eb, Bb, Cm","vi, III, V, II, IV, ii, I",4/4,Binaire,Rapide,NON,2,https://www.soundslice.com/slices/qvnHc/,https://www.soundslice.com/slices/r-cTc/,https://drive.google.com/file/d/15utF3PHZ4tOfbTOsh0NEPPF0o1D8QMYl/view?usp=drive_link,,3
Manhattan-Kaboul,DO majeur,"C, F, G, Am, E, Dm","I, IV, V, vi, III, ii",4/4,Binaire,Rapide,NON,3,https://www.soundslice.com/slices/vrnHc/,https://www.soundslice.com/slices/h-cTc/,https://drive.google.com/file/d/1mfkL78QEhfvO3nDU492IHoi7NX5_M0aH/view?usp=drive_link,https://drive.google.com/file/d/1vrvc9hPV4KWicCJSKvYJAbU-JfokT9IA/view?usp=drive_link,1
Mon amant de Saint-Jean,SOL mineur,"Gm, Cm, D, F, Bb, A, D","i, iv, V, VII, III",3/4,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/85nHc/,https://www.soundslice.com/slices/NQcTc/,https://drive.google.com/file/d/1vLh7ZUOSdqsoHiuf2p4WhFr9CtkzM2m1/view?usp=drive_link,,3
Perfect,LAb majeur,"Ab, Fm, Db, Eb","I, vi, IV, V",12/8,Ternaire,Lente,NON,1,https://www.soundslice.com/slices/QQnHc/,https://www.soundslice.com/slices/cQcTc/,https://drive.google.com/file/d/1t7M5Dc0V14_ibsS1NMd9qETWZFpcfLoZ/view?usp=drive_link,,4
Quelqu'un m'a dit,SIb majeur,"Bb, F, Gm, Eb","I, V, vi, IV",3/4,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/B2QHc/,https://www.soundslice.com/slices/VQcTc/,https://drive.google.com/file/d/11zqTNKhXDZyyu2W2UOVIO0z83E7S8mFQ/view?usp=drive_link,,3
Résiste,SOL mineur,"Gm, Bb, C, Eb, Cm, D, F, A, Ab","i, III, IV, VI, V, iv, II",4/4,Binaire,Normal,NON,3,https://www.soundslice.com/slices/V2QHc/,https://www.soundslice.com/slices/MQcTc/,https://drive.google.com/file/d/1Zpgy_FQIDWu5v7V9ZIJ5gaD7Bwn6qyXq/view?usp=drive_link,,3
Somwhere Only we Know,LA majeur,"A, C#m, Bm, E, F#m, D","I, iii, ii, V, vi, IV",4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/mP-Hc/,https://www.soundslice.com/slices/4QcTc/,https://drive.google.com/file/d/1PfvlgtYtIJNNR5egMYrFqJCyWVdXklvn/view?usp=drive_link,,2
Stand by me,LA majeur,"A, F#m, D, E","I, vi, IV, V",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/HP-Hc/,https://www.soundslice.com/slices/lQcTc/,https://drive.google.com/file/d/1OUuxhN67t_v4NkGTQYKLXQQ8WQV-rxpZ/view?usp=drive_link,,2
The scientist,FA majeur,"Dm, Bb, F, F/E, C","I, IV, V, vi",4/4,Binaire,Lent,NON,1,https://www.soundslice.com/slices/-6gHc/,https://www.soundslice.com/slices/WlkTc/,https://drive.google.com/file/d/1_h-ZcJHGQY2YbEQbu96ThXV-LvmhiWb3/view?usp=drive_link,,
Hallelujah,DO majeur,"C, Am, F, G, E","I, vi, IV, V, III",6/8,Ternaire,Normal,OUI,1,https://www.soundslice.com/slices/kKVTc/,https://www.soundslice.com/slices/slkTc/,https://drive.google.com/file/d/1E9eTZ-fqnNYttTzPDWSJbGmLAhWd8QbN/view?usp=drive_link,https://drive.google.com/file/d/1s2xiDr6fFhEaF_hytj_UQDiFk9eWVURz/view?usp=drive_link,1
Cry me a river,LA mineur,"Am, F, E, Dm","i, iv, V, VI",4/4,Binaire,Normal,OUI,1,https://www.soundslice.com/slices/cwkTc/,https://www.soundslice.com/slices/HlkTc/,https://drive.google.com/file/d/1n0ZLqhFbEhXuAZTM9khe-Vjh9e_nseUt/view?usp=drive_link,https://drive.google.com/file/d/1tJ14AE-peB1lKVCCJACR3JHdBBW1j3Pb/view?usp=drive_link,1
