Titre,Tonalité,Accords,Degrés,Rythmique,Rythme,Enchainement des accords,Swing,Niveau difficulté,Lien partition,Lien exercice,Lien vidéo explication,Lien téléchargement partition,,Module
Et si tu n'existais pas,LA mineur,"Am, Dm, E, G, C","i, iv, V, VII, III",4/4,Binaire,Normal,NON,3,https://www.soundslice.com/slices/4JlJc/,https://www.soundslice.com/slices/G1TTc/,https://www.soundslice.com/slices/7HTTc/,https://www.soundslice.com/slices/7HTTc/,,1
Fly Me To The Moon,DO majeur,"Am, Dm, G, C, A, F, E","vi, ii, V, I, VI, IV, III",4/4,Binaire,Normal,OUI,1,https://www.soundslice.com/slices/2XJJc/,https://www.soundslice.com/slices/sxcTc/,https://youtu.be/pFdpHpyLcTs,https://drive.google.com/file/d/1JIQbp-irgU_9vvVa3xjMX3qOuoLLSo1J/view?usp=sharing,,
Can't Help Falling in Love,RÉ majeur,"D, F#m, Bm, G, A, C#, B, Em","I, iii, vi, IV, V",6/8,Ternaire,Normal,NON,1,https://www.soundslice.com/slices/gRQHc/,https://www.soundslice.com/slices/PxcTc/,https://youtu.be/pFdpHpyLcTs,https://youtu.be/pFdpHpyLcTs,,
Armstrong,SOL mineur,"Gm, D, Cm, Bb, Eb","i, V, iv, III, VI",4/4,Binaire,Rapide,OUI,2,https://www.soundslice.com/slices/Bw2Tc/,https://www.soundslice.com/slices/2-cTc/,https://youtu.be/pFdpHpyLcTs,https://youtu.be/pFdpHpyLcTs,,
