Titre,Tonalité,Accords,Degrés,Rythmique,Rythme,Enchainement des accords,Swing,Niveau difficulté,Lien partition,Lien exercice,Lien vidéo explication,Lien téléchargement partition,,Module
A toi,LA mineur,"Am, Dm, G, C, E","i, iv, VII, III, V",4/4,Binaire,Normal,NON,3,https://www.soundslice.com/slices/4JlJc/,https://www.soundslice.com/slices/y-cTc/,https://youtu.be/ZRJIw7JKhCY,https://drive.google.com/file/d/13Vsxk0t8ZQuYASf8VRRbbXZMghMGLfGo/view?usp=sharing,,
Fly Me To The Moon,DO majeur,"Am, Dm, G, C, A, F, E","vi, ii, V, I, VI, IV, III",4/4,Binaire,Normal,OUI,1,https://www.soundslice.com/slices/2XJJc/,https://www.soundslice.com/slices/sxcTc/,https://youtu.be/pFdpHpyLcTs,https://drive.google.com/file/d/1JIQbp-irgU_9vvVa3xjMX3qOuoLLSo1J/view?usp=sharing,,
Can't Help Falling in Love,RÉ majeur,"D, F#m, Bm, G, A, C#, B, Em","I, iii, vi, IV, V",6/8,Ternaire,Normal,NON,2,https://www.soundslice.com/slices/dCTJc/,https://www.soundslice.com/slices/PxcTc/,https://youtu.be/1G3JXBayM7o,https://drive.google.com/file/d/1NhbUAoOz0UD8AXkrPYT98LEbo70aAiMw/view?usp=sharing,,
Knockin' On Heaven's Door,SOL majeur,"G, D, Am, C","i, V, IV, ii",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/tkLJc/,https://www.soundslice.com/slices/K-cTc/,https://youtu.be/nlNaIrLUzus,https://drive.google.com/file/d/1sM2YV60ptEoRO2VZjePx5vpFUsp4nTJv/view?usp=sharing,,
Les Feuilles mortes,LA mineur,"Dm, G, C, F, E, Am","iv, VII, III, VI, V, i",4/4,Binaire,Normal,NON,1,https://www.soundslice.com/slices/-CPJc/,https://www.soundslice.com/slices/GXtJc/,https://youtu.be/7Xz_vaYWpnA,https://drive.google.com/file/d/15m7kJ2Sy0JSMSTJQRXjOUMfq4k1xUh7g/view?usp=sharing,,
La valse d'Amélie,DO majeur,"Dm, Am, F, C","ii, vi, IV, I",3/4,Ternaire,Normal,NON,1,https://www.soundslice.com/slices/MrQJc/,https://www.soundslice.com/slices/qbvJc/,https://youtu.be/YOWirM8YUyA,https://drive.google.com/file/d/1mEVN7EV854ujxA3BYTJGvJm37Ze48beR/view?usp=drive_link,,
Star Wars,SOL majeur,"G, C, F, D, Bb, Cm",,4/4,Binaire,Normal,NON,2,https://www.soundslice.com/slices/YqGJc/,https://www.soundslice.com/slices/J9Dbc/,https://youtu.be/oHseZyGhNPI,https://drive.google.com/file/d/15geidLc6zAbn_Fsl-dKInCGpXrq9H3pS/view?usp=sharing,,
Alter Ego,SOL majeur,"C, G, D, Em, Am","IV, I, V, vi, ii",4/4,Binaire,Lent,NON,2,https://www.soundslice.com/slices/JFzbc/,https://www.soundslice.com/slices/zTsbc/,https://youtu.be/LZrGfuXIfxw,https://drive.google.com/file/d/1HO-ju0jDefpCaVfAqrdU19mGRmnDi0vS/view?usp=sharing,,
Le parrain,RÉ mineur,"Dm, Gm, A, C, F, Eb",i,4/4,Binaire,Lent,NON,3,https://www.soundslice.com/slices/Wgzbc/,https://www.soundslice.com/slices/Pm3sc/,https://youtu.be/B9ZrYxYiUfE,https://drive.google.com/file/d/1dOHeDIr675rev4Rg3xXPt5I_idEOfTSY/view?usp=sharing,,
